Match ID,Team One,Team Two,Winner,Date
1175356,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,2019-03-23
1175357,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,2019-03-24
1175358,Mumbai Indians,Delhi Capitals,Delhi Capitals,2019-03-24
1175359,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,2019-03-25
1175360,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,2019-03-26
1175361,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,2019-03-27
1175362,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,2019-03-28
1175363,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,2019-03-29
1175364,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,2019-03-30
1175365,Delhi Capitals,Kolkata Knight Riders,tie,2019-03-30
1175366,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,2019-03-31
1175367,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,2019-03-31
1175368,Kings XI Punjab,Delhi Capitals,Kings XI Punjab,2019-04-01
1175369,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,2019-04-02
1175370,Mumbai Indians,Chennai Super Kings,Mumbai Indians,2019-04-03
1175371,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,2019-04-04
1175372,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,2019-04-05
1178393,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,2019-04-06
1178394,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,2019-04-06
1178395,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,2019-04-07
1178396,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,2019-04-07
1178397,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,2019-04-08
1178398,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,2019-04-09
1178399,Mumbai Indians,Kings XI Punjab,Mumbai Indians,2019-04-10
1178400,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,2019-04-11
1178401,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,2019-04-12
1178402,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,2019-04-13
1178403,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,2019-04-13
1178404,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,2019-04-14
1178405,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,2019-04-14
1178406,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,2019-04-15
1178407,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,2019-04-16
1178408,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,2019-04-17
1178409,Delhi Capitals,Mumbai Indians,Mumbai Indians,2019-04-18
1178410,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,2019-04-19
1178411,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,2019-04-20
1178412,Delhi Capitals,Kings XI Punjab,Delhi Capitals,2019-04-20
1178413,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,2019-04-21
1178414,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,2019-04-21
1178415,Rajasthan Royals,Delhi Capitals,Delhi Capitals,2019-04-22
1178416,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,2019-04-23
1178417,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,2019-04-24
1178418,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,2019-04-25
1178419,Chennai Super Kings,Mumbai Indians,Mumbai Indians,2019-04-26
1178420,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,2019-04-27
1178421,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,2019-04-28
1178422,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,2019-04-28
1178423,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,2019-04-29
1178424,Royal Challengers Bangalore,Rajasthan Royals,tie,2019-04-30
1178425,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,2019-05-01
1178426,Mumbai Indians,Sunrisers Hyderabad,tie,2019-05-02
1178427,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,2019-05-03
1178428,Delhi Capitals,Rajasthan Royals,Delhi Capitals,2019-05-04
1178429,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,2019-05-04
1178430,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,2019-05-05
1178431,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,2019-05-05
1181764,Mumbai Indians,Chennai Super Kings,Mumbai Indians,2019-05-07
1181766,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,2019-05-08
1181767,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,2019-05-10
1181768,Mumbai Indians,Chennai Super Kings,Mumbai Indians,2019-05-12
